Title,Author,Type,Date,Edition,Publisher,Pages,ISBN/ISSN,Subjects,Location,Condition,Crop
Price Trends Rootcrops and Highland Vegetables 1983-1987,"Northern Philippines Root Crops Research and Training Center, Benguet State University",,1983-1987,,"Northern Philippines Root Crops Research and Training Center, Benguet State University",31 Pages,,Price Trends Root Crops and Highland Vegetables 1983-1987,8b,Good,Rootcrops
Golden Roots Issue  No. 01,"Betty T. Gayao, Jovita M. Sim, Dalen T. Meldoz, Esther T. Botangen, Charlotte C. Shagol and Esther Josephine D. Sagalla",Journal,January-June 2004,Golden Roots Issue No. 1,"Northern Philippines Root Crops Research and Training Center, Benguet State University",16 Pages,ISSN 1656-5444,"Contribution of Sweetpotato to Income and Nutrition of Farming Households in Aringay, La Union",6b,Good,Rootcrops
Golden Roots Issue  No. 02,"Betty T. Gayao, Jovita M. Sim, Dalen T. Meldoz, Esther T. Botangen, Charlotte C. Shagol and Esther Josephine D. Sagalla",Journal,July-Dec 2004,Golden Roots Issue No. 2,"Northern Philippines Root Crops Research and Training Center, Benguet State University",14 Pages,ISSN 1656-5444,"Contribution of Sweetpotato (SP) Processing to Income and SP Consumption to Nutrition of Households in Baguio City and La Trinidad, Benguet ",6b,Good,Rootcrops
Golden Roots Issue  No. 04,D. T. Meldoz and B. T. Gayao,Journal,July-Dec 2005,Golden Roots Issue No. 4,"Northern Philippines Root Crops Research and Training Center, Benguet State University",50 Pages,ISSN 1656-5444,Sweetpotato Recipes ,6b,Good,Rootcrops
Golden Roots Issue  No. 05,"Donita K. Simonga, Ines C. Gonzales and Fernando A. Balog-as",Journal,January-June 2006,Golden Roots Issue No. 5,"Northern Philippines Root Crops Research and Training Center, Benguet State University",33 Pages,ISSN 1656-5444,Highland Potato Cultivars,6b,Good,Rootcrops
Golden Roots Issue  No. 06,Hilda L. Quindara and Esther T. Botangen,Journal,July-December 2006,Golden Roots Issue No. 6,"Northern Philippines Root Crops Research and Training Center, Benguet State University",24 Pages,ISSN 1656-5444,Sweetpotato Recipes for Better Health,6b,Good,Rootcrops
Golden Roots Issue No. 7,"I. C. Gonzales, D. K. Simongo and F. A. Balog-as",Journal,January-June 2007,Golden Roots Issue No. 7,"Northern Philippines Root Crops Research and Training Center, Benguet State University",17 Pages,ISSN 1656-5444,Promising Sweetpotato for Table and Processing Uses,6b,Good,Rootcrops
Golden Roots Issue No. 8,"Hilda L. Quindara, Esther T. Botangen, Dominga E. Gabriel and Fernando S. Balog-as",Journal,July-Dec 2007,Golden Roots Issue No. 8,"Northern Philippines Root Crops Research and Training Center, Benguet State University",52 Pages,ISSN 1656-5444,Potato Processing and Utilization at the Village Level,6b,Good,Rootcrops
Golden Roots Issue No. 11,Betty T. Gayao and Dalen T. Meldoz,Journal,January-June 2009,Golden Roots Issue No. 11,"Northern Philippines Root Crops Research and Training Center, Benguet State University",64 Pages,ISSN 1656-5444,"Recipes Based on Vegetables, Roots and Tubers",6b,Good,Rootcrops
Golden Roots Issue No. 12,Betty T. Gayao and Dalen T. Meldoz,Journal,July-December 2009,Golden Roots Issue No. 12,"Northern Philippines Root Crops Research and Training Center, Benguet State University",21 Pages,ISSN 1656-5444,"Vegetables, Roots and Tubers Grown and Consumed in the Cordillera Region, Philippines",6b,Good,Rootcrops
Golden Roots Issue No. 13A,"Betty T. Gayao and Dalen T. Meldoz (BSU), Junette Akai, Dionesia Baladad, Anita Cayabas, Juanita Bangwa, Marcelyn Felix and Analyn Cosape (Upper Cogcoga, Pico Barangay), Anna Elizabeth Ota-ot and Luz de Guzman (La Trinidad LGU), Esther Rivera, Angeline Viado Everlita Podeque, Ester Dorencio and Flordeliza Angel (Balili Elementary School)",Journal,January -June 2010,Golden Roots Issue No. 13A,"Northern Philippines Root Crops Research and Training Center, Benguet State University",10 Pages,ISSN 1656-5444,"Consumption of Vegetables, Roots and Tubers, and Diet Quality of Children in La Trinidad, Benguet",6b,Good,Rootcrops
